i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1792===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1856===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1920===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 1984===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2048===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2112===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2176===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2240===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2304===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2368===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2432===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2496===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2560===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2624===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2688===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2752===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2816===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2880===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 2944===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3008===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3072===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3136===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3200===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3264===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3328===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3392===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3456===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3520===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3584===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3648===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3712===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3776===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3840===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3904===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 3968===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4032===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4096===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4160===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4224===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4288===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4352===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4416===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4480===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4544===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4608===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4672===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4736===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4800===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4864===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4928===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 4992===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5056===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5120===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5184===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5248===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5312===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5376===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5440===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5504===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5568===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5632===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5696===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5760===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5824===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5888===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 5952===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6016===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6080===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6144===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6208===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6272===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6336===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6400===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6464===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6528===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6592===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6656===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6720===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6784===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6848===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6912===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 6976===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7040===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7104===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7168===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7232===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7296===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7360===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7424===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7488===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7552===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7616===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7680===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7744===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7808===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7872===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 7936===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8000===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8064===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8128===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8192===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8256===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8320===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8384===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8448===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8512===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 8576===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
i: 0===== loss: tensor(nan, device='cuda:0', grad_fn=<NllLossBackward>)
